HFA,KFA,HAA,KVA,AVA,KVM,KFM,ASF,H/Q,ACL stress
17.21751131,17.0623927,27.86771728,3.59564249,-3.58698386,0.017116734,0.026840568,0.019080627,0.53668313,2.436332143
17.11806959,31.69894689,26.79885203,6.11818094,14.41559976,-0.144972223,0.043690047,-0.795912173,0.705552648,2.169937787
17.10791471,17.351444,32.03173813,2.99264842,0.48137812,-0.135953924,0.029661469,0.106456653,0.476579021,2.425566035
17.04631833,20.88781587,26.62173206,3.29289734,-2.23728333,-0.119089792,0.034688294,-0.54254391,0.587815646,2.340547717
16.93448427,21.41976266,26.63098118,4.81261079,1.16481659,-0.067773762,0.03550966,-0.423609288,0.539725887,2.329188638
16.83231124,16.80925114,26.33868889,3.34826925,-4.56635622,-0.006190275,0.019493318,0.18305146,0.739707249,2.434613254
16.58948267,11.83695133,32.95522147,1.01172448,-5.83736562,0.010745475,0.020619758,-0.150944723,0.388943884,2.514148354
16.53955873,23.66864558,18.42360203,5.09054146,3.11006223,-0.171350371,0.036281727,-0.321382875,0.631451384,2.295059422
16.21169105,20.17894302,26.26541612,5.01995678,2.07391768,-0.248246332,0.044868818,-0.375547887,0.548356664,2.346389867
15.8353369,18.68245061,19.04247991,3.20198802,-5.35668937,0.000176093,0.024348447,0.191616919,0.552945325,2.404487798
15.55486687,27.50580077,29.11257604,1.75356818,5.345393,-0.086833493,0.039236237,-0.374286926,0.814604599,2.261409732
15.36875926,35.66551054,23.27623438,7.03167985,13.26091252,0.009732721,0.078288192,-2.960093153,0.75454292,2.063927575
14.8410889,34.18340271,28.01169947,3.76386424,10.01979813,-0.199258358,0.084163825,-1.698191826,0.727855161,2.114986064
13.93359881,31.80289521,23.62660923,6.98171189,10.81879617,0.005735154,0.033142268,-0.420583721,0.624233001,2.148447244
13.82350823,31.26301237,27.08179958,4.11183299,7.37326944,-0.000748616,0.039957685,-1.185563058,0.689361534,2.177762688
12.95626113,35.56353074,26.68229903,4.99514525,11.41315989,-0.103879472,0.04464096,-0.776246756,0.715645606,2.07382167
